label,message
0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
0,Ok lar... Joking wif you oni...
1,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
0,YOU dun say so early hor... YOU c already then say...
0,"Nah I do not think he goes to usf, he lives around here though"
1,"FreeMsg Hey there darling it is been 3 week's now and no word back! I would like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv"
0,Even my brother is not like to speak with me. They treat me like aids patent.
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
1,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
1,Had your mobile 11 months or more? YOU R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
0,"I am going to be home soon and i do not want to talk about this stuff anymore tonight, k? I have cried enough today."
1,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
1,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
0,I have been searching for the right words to thank you for this breather. I promise i will not take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
0,I HAVE A DATE ON SUNDAY WITH WILL!!
1,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
0,Oh k...i am watching here:)
0,Eh you remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
0,Fine if thats the way you feel. Thats the way its gota b
1,"England v Macedonia - do not miss the goals/team news. Txt you are national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+"
0,Is that seriously how you spell his name?
0,I‘m going to try for 2 months ha ha only joking
0,So ü pay first lar... Then when is da stock comin...
0,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. YOU finish you are lunch already?
0,Ffffffffff. Alright no way I can meet up with you sooner?
0,Just forced myself to eat a slice. I am really not hungry though. This sucks. Mark is getting worried. He knows I am sick when I turn down pizza. Lol
0,Lol your always so convincing.
0,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
0,"I am back &amp; we are packing the car now, I will let you know if there is room"
0,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
0,"Wait that is still not all that clear, were you not sure about me being sarcastic or that that is why x does not want to live with us"
0,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we will not go there! Not doing too badly cheers. You? 
0,K tell me anything about you.
0,For fear of fainting with the of all that housework you just did? Quick have a cuppa
1,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
0,Yup... Ok i go home look at the timings then i message ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am
0,"Oops, I will let you know when my roommate's done"
0,I see the letter B on my car
0,Anything lor... YOU decide...
0,Hello! How is you and how did saturday go? I was just texting to see if you would decided to do anything tomo. Not that i am trying to invite myself or anything!
0,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
0,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
1,07732584351 - Rodger Burns - MESSAGE = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
0,WHO ARE YOU SEEING?
0,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
0,No calls..messages..missed calls
0,Did not you get hep b immunisation in nigeria.
0,"Fair enough, anything going on?"
0,"Yeah hopefully, if tyler cannot do it I could maybe ask around a bit"
0,YOU do not know how stubborn I am. I did not even want to go to the hospital. I kept telling Mark I am not a weak sucker. Hospitals are for weak suckers.
0,What you thinked about me. First time you saw me in class.
0,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;"
0,K fyi x has a ride early tomorrow morning but he is crashing at our place tonight
0,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I am sorry I did not and do not have more to give. I am sorry i offered. I am sorry your room was so embarassing."
1,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
0,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
1,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Do Not miss out! "
0,"Sorry, I will call later in meeting."
0,Tell where you reached
0,Yes..gauti and sehwag out of odi series.
0,Your going to have to pick up a $1 burger for yourself on your way home. I cannot even move. Pain is killing me.
0,Ha ha ha good joke. Girls are situation seekers.
0,Its a part of checking IQ
0,"Sorry my roommates took forever, it ok if I come by now?"
0,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
1,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589"
0,"Today is ""song dedicated day.."" Which song will you dedicate for me? Send this to all you are valuable frnds but first rply me..."
1,"Urgent YOU ARE awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
1,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!"
0,I plane to give on this month end.
0,Wah lucky man... Then can save money... Hee...
